selected,technical_score,candidate_score,experience_total,academic_reliability,max_tech_skill,max_soft_skill,tech_candidate_multiplier,no_experience_flag,high_risk_flag
1,5.25,3.5,7,7.620000000000001,9,4,18.375,0,1
1,5.25,4.166666666666667,11,13.5,8,9,21.875,0,1
1,2.25,2.8333333333333335,7,10.41,4,2,6.375,0,1
1,8.0,5.0,12,17.740000000000002,10,8,40.0,0,0
1,5.25,5.0,15,7.780000000000001,9,8,26.25,0,1
0,5.75,3.5,17,6.530000000000001,9,7,20.125,0,1
1,2.5,5.833333333333333,15,2.79,6,10,14.583333333333332,0,1
0,2.0,4.833333333333333,9,9.08,4,8,9.666666666666666,0,1
0,5.75,3.8333333333333335,12,13.259999999999998,9,8,22.041666666666668,0,1
1,4.0,4.0,10,9.04,8,8,16.0,0,1
1,6.75,5.0,10,14.85,9,8,33.75,0,0
1,3.25,6.333333333333333,12,14.350000000000001,6,9,20.583333333333332,0,1
1,5.0,5.0,8,9.66,8,8,25.0,0,0
0,3.75,5.0,4,13.559999999999999,6,10,18.75,0,1
0,6.5,3.1666666666666665,8,11.91,8,4,20.583333333333332,0,0
0,4.5,4.5,11,9.67,8,6,20.25,0,1
1,7.75,5.666666666666667,9,13.27,9,9,43.91666666666667,0,1
1,5.5,5.333333333333333,8,13.870000000000001,10,6,29.333333333333332,0,0
1,8.75,3.5,14,13.66,10,4,30.625,0,1
0,5.5,3.3333333333333335,7,3.46,8,8,18.333333333333336,0,1
1,7.25,3.0,16,11.56,10,6,21.75,0,0
0,3.0,5.5,10,5.45,5,8,16.5,0,1
0,7.75,5.5,14,13.96,10,9,42.625,0,1
0,6.75,6.333333333333333,9,11.58,10,10,42.75,0,0
1,5.75,4.666666666666667,8,6.530000000000001,9,7,26.833333333333336,0,1
1,5.25,4.833333333333333,8,11.68,7,9,25.375,0,0
1,4.5,5.333333333333333,15,12.75,8,7,24.0,0,0
1,5.75,3.1666666666666665,12,9.57,8,5,18.208333333333332,0,0
1,5.0,5.333333333333333,8,7.460000000000001,9,6,26.666666666666664,0,1
1,4.5,5.833333333333333,9,10.23,10,8,26.25,0,1
1,6.25,3.5,6,8.79,9,6,21.875,0,1
1,7.25,3.6666666666666665,6,9.1,9,8,26.583333333333332,0,1
1,6.75,4.833333333333333,11,13.08,8,10,32.625,0,0
1,6.0,4.5,8,16.490000000000002,9,10,27.0,0,0
1,7.25,4.666666666666667,12,8.58,10,5,33.833333333333336,0,1
1,4.75,5.5,12,15.54,7,9,26.125,0,1
1,4.25,7.166666666666667,16,15.27,9,9,30.458333333333336,0,0
0,6.25,4.333333333333333,8,14.24,10,9,27.083333333333332,0,0
0,4.25,3.0,9,9.17,5,6,12.75,0,1
1,6.75,3.5,8,5.699999999999999,10,6,23.625,0,1
1,5.25,4.333333333333333,15,6.859999999999999,9,9,22.75,0,1
0,4.25,5.0,4,10.73,6,7,21.25,0,0
1,6.25,5.666666666666667,3,5.92,9,9,35.41666666666667,0,1
1,4.75,3.8333333333333335,11,11.3,6,8,18.208333333333336,0,1
1,4.5,6.0,12,11.29,10,10,27.0,0,1
1,6.75,5.666666666666667,16,10.06,10,10,38.25,0,0
0,4.75,5.666666666666667,11,8.559999999999999,10,10,26.916666666666668,0,0
1,6.25,6.333333333333333,7,8.6,10,9,39.58333333333333,0,1
1,6.5,6.0,15,10.23,8,9,39.0,0,0
1,4.5,4.333333333333333,10,10.67,8,9,19.5,0,1
1,4.5,4.5,13,11.6,9,10,20.25,0,1
0,6.75,4.666666666666667,15,11.63,7,9,31.500000000000004,0,1
