iter	Logloss
0	0.68140271
1	0.6705977783
2	0.6606845703
3	0.6519912109
4	0.6437382202
5	0.6364875488
6	0.6301437988
7	0.6245140991
8	0.6192321167
9	0.6146539307
10	0.6103466187
11	0.6064211426
12	0.6030349121
13	0.599758667
14	0.5971152954
15	0.5945216064
16	0.592052063
17	0.589937439
18	0.5881846924
19	0.5865424805
20	0.5849768066
21	0.5836727295
22	0.582361084
23	0.5809578857
24	0.5797266846
25	0.5785977783
26	0.5776268311
27	0.5769232178
28	0.5761489868
29	0.575421875
30	0.5748013916
31	0.5740844727
32	0.573449585
33	0.5730081787
34	0.5722949829
35	0.5717766113
36	0.5712635498
37	0.5707197266
38	0.5701801758
39	0.5699790649
40	0.5696375732
41	0.569105957
42	0.5684941406
43	0.5681359253
44	0.567723999
45	0.5675249023
46	0.5673032227
47	0.5669859009
48	0.5667548828
49	0.5664983521
50	0.5662005005
51	0.5659379883
52	0.5657674561
53	0.5656610718
54	0.5653994751
55	0.5651253662
56	0.5649985352
57	0.5647512207
58	0.5644815063
59	0.5643146973
60	0.563756958
61	0.5635150146
62	0.5632094727
63	0.5629411011
64	0.5627892456
65	0.5625466919
66	0.5622033691
67	0.5620939941
68	0.5619511719
69	0.5617672119
70	0.5614650879
71	0.5611265869
72	0.5608774414
73	0.5607329102
74	0.5604558105
75	0.5600662842
76	0.5597789917
77	0.5595166626
78	0.5590748291
79	0.5588274536
80	0.5584988403
81	0.5584770508
82	0.5583595581
83	0.5581548462
84	0.5579239502
85	0.5575898437
86	0.5574381104
87	0.5571486816
88	0.5569512939
89	0.5567296143
90	0.5565271606
91	0.5563015137
92	0.5560705566
93	0.5556883545
94	0.5555557251
95	0.555307251
96	0.5552260132
97	0.5550759277
98	0.5548289795
99	0.5546810303
100	0.5544968262
101	0.5543613281
102	0.5540821533
103	0.55384021
104	0.5536817627
105	0.5534039307
106	0.5531949463
107	0.5529884033
108	0.5527752075
109	0.5525529785
110	0.5521514893
111	0.5520056152
112	0.5518084106
113	0.5515909424
114	0.5514673462
115	0.5512822876
116	0.551147583
117	0.5509541626
118	0.5508930664
119	0.5506461182
120	0.5506060791
121	0.5504811401
122	0.5503291016
123	0.5501947021
124	0.5500491333
125	0.5498210449
126	0.5497462158
127	0.549552002
128	0.5493891602
129	0.5492473145
130	0.5490013428
131	0.5487539062
132	0.5485412598
133	0.5482788086
134	0.5481082153
135	0.5479813843
136	0.5477609863
137	0.5476881714
138	0.5474880371
139	0.5473242798
140	0.5470717773
141	0.5467965698
142	0.5466407471
143	0.5464464111
144	0.5462536621
145	0.5460653076
146	0.5457969971
147	0.5455970459
148	0.5453049316
149	0.5452026367
150	0.5450423584
151	0.54478479
152	0.5446541748
153	0.5443857422
154	0.5441804199
155	0.5440163574
156	0.5438961182
157	0.5437209473
158	0.543494873
159	0.5431192627
160	0.5428139038
161	0.5426635742
162	0.5425584717
163	0.5423656006
164	0.5421983032
165	0.5419042969
166	0.5417299805
167	0.5415419312
168	0.5412983398
169	0.5412030029
170	0.5411046143
171	0.5409091797
172	0.5407382202
173	0.5405509644
174	0.5404598389
175	0.5403371582
176	0.540048584
177	0.5398335571
178	0.539737793
179	0.5394841309
180	0.5392617187
181	0.5390339355
182	0.5388539429
183	0.5385777588
184	0.5383699951
185	0.5381629028
186	0.537991272
187	0.5377458496
188	0.5373381348
189	0.5371400757
190	0.5368643188
191	0.5366652222
192	0.5365322266
193	0.5363498535
194	0.5361496582
195	0.5359606934
196	0.5356049805
197	0.5353179321
198	0.5352310791
199	0.5350184326
