iter	Passed	Remaining
0	2	542
1	5	564
2	8	577
3	11	552
4	13	542
5	16	526
6	18	503
7	20	495
8	22	482
9	25	477
10	27	471
11	29	467
12	32	462
13	34	458
14	36	454
15	39	451
16	41	449
17	44	453
18	46	444
19	49	447
20	52	444
21	54	440
22	56	437
23	59	433
24	61	429
25	63	426
26	65	422
27	67	416
28	70	413
29	72	410
30	75	409
31	77	407
32	79	404
33	82	401
34	84	397
35	86	394
36	88	391
37	91	388
38	93	384
39	94	378
40	96	375
41	99	372
42	101	370
43	103	368
44	106	365
45	108	362
46	110	360
47	112	357
48	115	356
49	117	353
50	120	351
51	122	348
52	125	347
53	127	344
54	129	342
55	132	340
56	135	338
57	137	337
58	139	334
59	142	332
60	145	331
61	147	328
62	150	328
63	153	326
64	156	324
65	158	322
66	160	319
67	163	317
68	165	314
69	168	312
70	170	309
71	172	307
72	175	305
73	177	302
74	180	300
75	182	297
76	184	295
77	187	292
78	189	290
79	191	287
80	194	285
81	195	281
82	198	279
83	200	276
84	202	274
85	205	272
86	207	270
87	210	267
88	212	265
89	214	262
90	217	260
91	219	257
92	222	255
93	224	253
94	227	251
95	229	248
96	232	246
97	234	243
98	237	241
99	239	239
100	241	237
101	244	235
102	247	232
103	249	230
104	252	228
105	254	225
106	256	223
107	259	221
108	262	219
109	265	216
110	267	214
111	269	211
112	272	209
113	274	207
114	277	205
115	279	202
116	282	200
117	284	197
118	286	195
119	288	192
120	290	189
121	293	187
122	295	184
123	297	182
124	300	180
125	302	177
126	304	174
127	306	172
128	309	170
129	311	167
130	314	165
131	316	163
132	318	160
133	321	158
134	323	155
135	326	153
136	328	150
137	330	148
138	333	146
139	335	143
140	337	141
141	340	139
142	342	136
143	345	134
144	347	131
145	349	129
146	351	126
147	354	124
148	357	122
149	359	119
150	361	117
151	364	115
152	367	112
153	369	110
154	371	107
155	374	105
156	376	103
157	378	100
158	381	98
159	383	95
160	386	93
161	388	91
162	391	88
163	393	86
164	396	84
165	398	81
166	400	79
167	402	76
168	405	74
169	407	71
170	409	69
171	411	67
172	414	64
173	416	62
174	418	59
175	421	57
176	423	55
177	425	52
178	428	50
179	430	47
180	432	45
181	434	43
182	437	40
183	439	38
184	441	35
185	443	33
186	446	31
187	448	28
188	450	26
189	453	23
190	455	21
191	457	19
192	460	16
193	462	14
194	464	11
195	467	9
196	470	7
197	472	4
198	474	2
199	476	0
